run,feather,l2_delta_all_genes,error
lr_only__full,BCL6_KO_perturb_expr.feather,54.5101060055204,
lr_only__full,BCL6_OE1p5_perturb_expr.feather,83.13406750831436,
lr_only__full,IL21_BCL6_joint_KO_perturb_expr.feather,56.322410949978234,
lr_only__full,IL21_BCL6_joint_OE1p5_perturb_expr.feather,137.7066978883985,
lr_only__full,IL21_KO_BCL6_OE1p5_perturb_expr.feather,84.33347792521144,
lr_only__full,IL21_KO_perturb_expr.feather,14.172590394319482,
lr_only__full,IL21_OE1p5_BCL6_KO_perturb_expr.feather,122.56921766733589,
lr_only__full,IL21_OE1p5_perturb_expr.feather,109.78097040402628,
lr_only__seed,BCL6_KO_perturb_expr.feather,54.5101060055204,
lr_only__seed,BCL6_OE1p5_perturb_expr.feather,83.13406750831436,
lr_only__seed,IL21_BCL6_joint_KO_perturb_expr.feather,56.322410949978234,
lr_only__seed,IL21_BCL6_joint_OE1p5_perturb_expr.feather,137.7066978883985,
lr_only__seed,IL21_KO_BCL6_OE1p5_perturb_expr.feather,84.33347792521144,
lr_only__seed,IL21_KO_perturb_expr.feather,14.172590394319482,
lr_only__seed,IL21_OE1p5_BCL6_KO_perturb_expr.feather,122.56921766733589,
lr_only__seed,IL21_OE1p5_perturb_expr.feather,109.78097040402628,
ltfl_only__full,BCL6_KO_perturb_expr.feather,54.5101060055204,
ltfl_only__full,BCL6_OE1p5_perturb_expr.feather,83.13406750831436,
ltfl_only__full,IL21_BCL6_joint_KO_perturb_expr.feather,56.322410949978234,
ltfl_only__full,IL21_BCL6_joint_OE1p5_perturb_expr.feather,137.7066978883985,
ltfl_only__full,IL21_KO_BCL6_OE1p5_perturb_expr.feather,84.33347792521144,
ltfl_only__full,IL21_KO_perturb_expr.feather,14.172590394319482,
ltfl_only__full,IL21_OE1p5_BCL6_KO_perturb_expr.feather,122.56921766733589,
ltfl_only__full,IL21_OE1p5_perturb_expr.feather,109.78097040402628,
ltfl_only__seed,BCL6_KO_perturb_expr.feather,54.5101060055204,
ltfl_only__seed,BCL6_OE1p5_perturb_expr.feather,83.13406750831436,
ltfl_only__seed,IL21_BCL6_joint_KO_perturb_expr.feather,56.322410949978234,
ltfl_only__seed,IL21_BCL6_joint_OE1p5_perturb_expr.feather,137.7066978883985,
ltfl_only__seed,IL21_KO_BCL6_OE1p5_perturb_expr.feather,84.33347792521144,
ltfl_only__seed,IL21_KO_perturb_expr.feather,14.172590394319482,
ltfl_only__seed,IL21_OE1p5_BCL6_KO_perturb_expr.feather,122.56921766733589,
ltfl_only__seed,IL21_OE1p5_perturb_expr.feather,109.78097040402628,
tf_lr__full,BCL6_KO_perturb_expr.feather,54.5101060055204,
tf_lr__full,BCL6_OE1p5_perturb_expr.feather,83.13406750831436,
tf_lr__full,IL21_BCL6_joint_KO_perturb_expr.feather,56.322410949978234,
tf_lr__full,IL21_BCL6_joint_OE1p5_perturb_expr.feather,137.7066978883985,
tf_lr__full,IL21_KO_BCL6_OE1p5_perturb_expr.feather,84.33347792521144,
tf_lr__full,IL21_KO_perturb_expr.feather,14.172590394319482,
tf_lr__full,IL21_OE1p5_BCL6_KO_perturb_expr.feather,122.56921766733589,
tf_lr__full,IL21_OE1p5_perturb_expr.feather,109.78097040402628,
tf_lr__seed,BCL6_KO_perturb_expr.feather,54.5101060055204,
tf_lr__seed,BCL6_OE1p5_perturb_expr.feather,83.13406750831436,
tf_lr__seed,IL21_BCL6_joint_KO_perturb_expr.feather,56.322410949978234,
tf_lr__seed,IL21_BCL6_joint_OE1p5_perturb_expr.feather,137.7066978883985,
tf_lr__seed,IL21_KO_BCL6_OE1p5_perturb_expr.feather,84.33347792521144,
tf_lr__seed,IL21_KO_perturb_expr.feather,14.172590394319482,
tf_lr__seed,IL21_OE1p5_BCL6_KO_perturb_expr.feather,122.56921766733589,
tf_lr__seed,IL21_OE1p5_perturb_expr.feather,109.78097040402628,
tf_lr_ltfl__full,BCL6_KO_perturb_expr.feather,54.5101060055204,
tf_lr_ltfl__full,BCL6_OE1p5_perturb_expr.feather,83.13406750831436,
tf_lr_ltfl__full,IL21_BCL6_joint_KO_perturb_expr.feather,56.322410949978234,
tf_lr_ltfl__full,IL21_BCL6_joint_OE1p5_perturb_expr.feather,137.7066978883985,
tf_lr_ltfl__full,IL21_KO_BCL6_OE1p5_perturb_expr.feather,84.33347792521144,
tf_lr_ltfl__full,IL21_KO_perturb_expr.feather,14.172590394319482,
tf_lr_ltfl__full,IL21_OE1p5_BCL6_KO_perturb_expr.feather,122.56921766733589,
tf_lr_ltfl__full,IL21_OE1p5_perturb_expr.feather,109.78097040402628,
tf_lr_ltfl__seed,BCL6_KO_perturb_expr.feather,54.5101060055204,
tf_lr_ltfl__seed,BCL6_OE1p5_perturb_expr.feather,83.13406750831436,
tf_lr_ltfl__seed,IL21_BCL6_joint_KO_perturb_expr.feather,56.322410949978234,
tf_lr_ltfl__seed,IL21_BCL6_joint_OE1p5_perturb_expr.feather,137.7066978883985,
tf_lr_ltfl__seed,IL21_KO_BCL6_OE1p5_perturb_expr.feather,84.33347792521144,
tf_lr_ltfl__seed,IL21_KO_perturb_expr.feather,14.172590394319482,
tf_lr_ltfl__seed,IL21_OE1p5_BCL6_KO_perturb_expr.feather,122.56921766733589,
tf_lr_ltfl__seed,IL21_OE1p5_perturb_expr.feather,109.78097040402628,
tf_only__full,BCL6_KO_perturb_expr.feather,54.5101060055204,
tf_only__full,BCL6_OE1p5_perturb_expr.feather,83.13406750831436,
tf_only__full,IL21_BCL6_joint_KO_perturb_expr.feather,56.322410949978234,
tf_only__full,IL21_BCL6_joint_OE1p5_perturb_expr.feather,137.7066978883985,
tf_only__full,IL21_KO_BCL6_OE1p5_perturb_expr.feather,84.33347792521144,
tf_only__full,IL21_KO_perturb_expr.feather,14.172590394319482,
