run,gene,mean_lasso_r2
lr_only__full,IL21,0.3062413583541503
lr_only__full,BCL6,0.31405126416687296
lr_only__seed,IL21,0.3062413583541503
lr_only__seed,BCL6,0.31405126416687296
ltfl_only__full,IL21,
ltfl_only__full,BCL6,
ltfl_only__seed,IL21,
ltfl_only__seed,BCL6,
tf_lr__full,IL21,0.7094637570118454
tf_lr__full,BCL6,0.7939089343428515
tf_lr__seed,IL21,0.7094637570118454
tf_lr__seed,BCL6,0.7939089343428515
tf_lr_ltfl__full,IL21,0.7094637570118454
tf_lr_ltfl__full,BCL6,0.7939255563973211
tf_lr_ltfl__seed,IL21,0.7094637570118454
tf_lr_ltfl__seed,BCL6,0.7939255563973211
tf_only__full,IL21,0.7024842551300856
tf_only__full,BCL6,0.7879213389014162
tf_only__seed,IL21,0.7024842551300856
tf_only__seed,BCL6,0.7879213389014162
