dataset_id,technology,organ,target_gene,n_types,n_ligands,type_feat_pearson,ridge_silly_coef_pearson,ridge_silly_coef_cosine,ridge_abund_coef_pearson,ridge_abund_coef_cosine
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Cd74,6,5,0.956167781584645,0.9938013872461535,0.9499964777669019,-0.2973130676660032,0.7416688748487288
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,H2-ab1,6,5,0.956167781584645,0.6595759069382124,0.5815261428837263,,0.12592018123198714
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Naca,6,5,0.956167781584645,0.6962696053789366,0.8630505815053907,,0.7127270792944486
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Fth1,6,5,0.956167781584645,0.5951003312312215,0.7413900515492339,,0.5687318160917766
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Calm1,6,5,0.956167781584645,0.5216698238015778,0.6425341772864944,,0.4717218248115798
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Ighm,6,5,0.956167781584645,0.9954934487251914,0.9872681390149096,,0.5549919350503862
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Cd52,6,5,0.956167781584645,0.143913659472545,-0.004110027776281329,,-0.13112144070728515
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,H2-aa,6,5,0.956167781584645,0.996204482522459,0.9525416117387612,-0.4279385632365632,0.6648559744711575
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Cox4i1,6,5,0.956167781584645,0.8766872047752194,0.8699788474354346,,-0.49826824423471766
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Ighd,6,5,0.956167781584645,0.9964140503395305,0.9720088433780553,,0.5448406616822428
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Ncl,6,5,0.956167781584645,0.6465449966292588,0.8624055028286732,,0.765445374421946
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Lyz2,6,5,0.956167781584645,0.6462034917425753,0.755904958910079,,0.5405641805503811
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Cd79b,6,5,0.956167781584645,0.6194773313340332,0.594889031175391,,0.27140449920804444
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Malat1,6,5,0.956167781584645,0.5902718810953662,0.8103569362351392,,0.7155144082652537
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,Snrpd3,6,5,0.956167781584645,0.6959739570775578,0.8018055437605712,,0.586767070436405
human_tonsil_slidetags,SlideTags,tonsil,TMSB4X,11,10,0.9782254981297234,0.9528294063492284,0.9869842331077434,,0.850464669222879
human_tonsil_slidetags,SlideTags,tonsil,SAMD12,11,10,0.9782254981297234,0.19222920115482742,0.2556059092235123,,0.23252542572641602
human_tonsil_slidetags,SlideTags,tonsil,ARHGAP24,11,10,0.9782254981297234,0.8149885338700327,0.8206304800396873,,-0.19144984169406634
human_tonsil_slidetags,SlideTags,tonsil,TOX,11,10,0.9782254981297234,0.9682595373846479,0.9758633021806535,,0.8272175194483248
human_tonsil_slidetags,SlideTags,tonsil,MAML2,11,10,0.9782254981297234,0.950976570064004,0.9576296368903224,,0.36925189566726524
human_tonsil_slidetags,SlideTags,tonsil,IGLC1,11,10,0.9782254981297234,0.9856151835890531,0.9932884268912717,,0.729154046568472
human_tonsil_slidetags,SlideTags,tonsil,IGHA1,11,10,0.9782254981297234,0.9850011181932637,0.9931236072109846,,0.7375142727104469
human_tonsil_slidetags,SlideTags,tonsil,LRMP,11,10,0.9782254981297234,-0.011337462946226062,0.15144885249755172,,0.23581311135134497
human_tonsil_slidetags,SlideTags,tonsil,FDCSP,11,10,0.9782254981297234,0.9717680777865274,0.9774252381957054,,0.44615271650615596
human_tonsil_slidetags,SlideTags,tonsil,PDE4D,11,10,0.9782254981297234,0.7538576360049143,0.7436476329736723,,0.12560596555761724
