a,b,cosine,n_shared,shared
mouse_ln_slideseqv2,human_tonsil_slidetags,0.9787982253393259,3,"B,DC,T"
mouse_ln_slideseqv2,human_tonsil_slidetags_fine,0.9827457639443765,3,"B,DC,T"
mouse_ln_slideseqv2,mouse_kidney_visiumhd,0.7008112223924832,2,"B,T"
human_tonsil_slidetags,human_tonsil_slidetags_fine,0.996211449275151,7,"B,DC,Myeloid,NK,Plasma,Stromal,T"
human_tonsil_slidetags,human_melanoma_slidetags,0.9090963400656564,3,"Myeloid,Plasma,T"
human_tonsil_slidetags,mouse_kidney_visiumhd,0.4037640735550775,5,"B,Myeloid,NK,Stromal,T"
human_tonsil_slidetags,mouse_hippocampus_slideseqv2,0.867305535433498,2,"Myeloid,Stromal"
human_tonsil_slidetags_fine,human_melanoma_slidetags,0.9257909401929229,3,"Myeloid,Plasma,T"
human_tonsil_slidetags_fine,mouse_kidney_visiumhd,0.4244931577679427,5,"B,Myeloid,NK,Stromal,T"
human_tonsil_slidetags_fine,mouse_hippocampus_slideseqv2,0.8492514193173208,2,"Myeloid,Stromal"
human_melanoma_slidetags,mouse_kidney_visiumhd,0.9703681959310959,2,"Myeloid,T"
mouse_kidney_visiumhd,mouse_hippocampus_slideseqv2,0.8302456509833558,3,"Endothelial,Myeloid,Stromal"
mouse_kidney_visiumhd,mouse_brain_slideseqv2_regions,0.8310795687853523,2,"Endothelial,Myeloid"
mouse_brain_slideseqv2,mouse_hippocampus_slideseqv2,0.9254162170897263,4,"Endothelial,Ependymal,Glia,Neuron"
mouse_brain_slideseqv2,mouse_brain_slideseqv2_regions,0.7976705828053618,4,"Endothelial,Ependymal,Glia,Neuron"
mouse_hippocampus_slideseqv2,mouse_brain_slideseqv2_regions,0.8682651375463835,5,"Endothelial,Ependymal,Glia,Myeloid,Neuron"
