gene,pearson_r,n_spots
ASCL2,0.6116299108590665,387
RPS15A,0.5858343501969144,387
FTH1,0.5620198633066041,387
MT-ND1,0.5524023773221808,387
PIGR,0.5435479402929051,387
SPINK4,0.5331108754000403,387
CLCA1,0.5264745732613664,387
RPL36A,0.5205370259065443,387
RPS12,0.5130107973432413,387
ENGASE,0.5105584081455651,387
NDUFA1,0.4908428651529467,387
TBC1D4,0.48143135421738786,387
LRATD1,0.47905012899139476,387
XPO5,0.46808279611590314,387
INSIG1,0.46668575000480383,387
KRT23,0.4645722865530447,387
MUC2,0.46297011361605855,387
QPRT,0.4604286739140329,387
ATP5IF1,0.45480629220199315,387
SPDEF,0.45434808867825544,387
AMACR,0.4481947417057952,387
COMMD6,0.435446720079612,387
HOXA10,0.43389100789870677,387
MT1G,0.4336844013180558,387
HSPH1,0.4309553263113026,387
PIN4,0.4262258811999098,387
UCHL3,0.42185863181621797,387
HES1,0.4217930710231228,387
SYK,0.42076569842994593,387
RNF43,0.4182028893036494,387
BRI3,0.4085013225562254,387
POMP,0.40645371539747316,387
TFDP1,0.4014475930654512,387
MRPL2,0.3948646477783731,387
RPL30,0.39225216768751264,387
PRR15,0.39059556403693596,387
RPL7L1,0.3897961782400149,387
DEFA5,0.38868398559824935,387
AXIN2,0.38831203162039707,387
FCGBP,0.3878023982720222,387
JCHAIN,0.38656300227033996,387
MT-CO3,0.38558190520257646,387
PLA2G2A,0.38185257753904106,387
IDH2,0.38003425151808035,387
LBR,0.3782770662507714,387
JUN,0.37793946044645604,387
ITM2B,0.3769783167015925,387
TMEM176A,0.3741969838555806,387
ALDOB,0.37287294261556764,387
MCM7,0.37243367988686843,387
ABHD11,0.3682649692688141,387
AGR2,0.3662083280382893,387
PTPN2,0.3634298637305558,387
DES,0.3603811790903383,387
PNP,0.36020560754439096,387
TRIM2,0.35881736944924136,387
HMGB2,0.35853394539063005,387
HSPA5,0.35700223379115686,387
IER3,0.35686051440814637,387
AKIRIN2,0.35531555301067874,387
ABO,0.35327250807728816,387
PYCARD,0.3529921734870707,387
APCDD1,0.3527834062551063,387
NELFCD,0.35271509973435994,387
MELTF,0.3525079735130218,387
MUC4,0.35155097165244087,387
MYO6,0.3499880629664245,387
SCRIB,0.3497671802959914,387
ZNRF2,0.34862573834231303,387
MYO15B,0.3481845519463662,387
FGFRL1,0.34817565341713336,387
POLR2K,0.348079009588024,387
ALDH1L1,0.3478305073441823,387
CHURC1,0.3471972956633944,387
PARP4,0.3462873109456196,387
SLC37A3,0.34349126784488354,387
MT2A,0.3433578486441041,387
DMBT1,0.33821583021437973,387
CDH17,0.3379982875657085,387
TNS3,0.33756823758415555,387
LRRC26,0.33453408665395423,387
DDR1,0.33374644802933046,387
SCCPDH,0.33320443006294037,387
ZG16,0.33294896754224135,387
GTF2IRD1,0.33111374124864423,387
ST6GALNAC1,0.3308675093469963,387
MRPS21,0.3300032143647434,387
MT-ND4,0.3283332964042582,387
STAG2,0.3279318247626299,387
MT-CO1,0.32774315149466743,387
MT1H,0.3253021416594727,387
LLGL2,0.3252033869072515,387
CXCL14,0.3237588337791681,387
TMPRSS2,0.32308128255389035,387
TRMT112,0.3212738341292195,387
XPO4,0.3211536520151079,387
CDC16,0.3205209617834394,387
MT1E,0.3201622504352159,387
CEACAM6,0.3196787483971042,387
ANKH,0.3194126567367489,387
KBTBD2,0.31855658167529993,387
SNTB1,0.318143766719058,387
PPP2R5D,0.3169769363750577,387
RNF44,0.316623326992724,387
IDS,0.31568247577581915,387
CGN,0.31410144044485155,387
KCNMA1,0.3108227553478264,387
EPS8L3,0.31069063487333476,387
SP5,0.3090496737132819,387
CDCA7,0.3088970452247423,387
CXADR,0.3082620829750992,387
OCLN,0.3078752362901338,387
HMGB3,0.3065095692436401,387
SLC26A6,0.30467321830526,387
PSMA2,0.30463279832683854,387
SELENOS,0.30405667945154013,387
CKLF,0.3037067544219024,387
CIAO2B,0.30354777342677064,387
DUSP22,0.3029733652496191,387
SLC46A3,0.3026521962563889,387
PRAP1,0.30206727223678265,387
SCRN1,0.3011349722987539,387
ATPAF1,0.30107707218365415,387
NQO1,0.29869472375367,387
PAPSS2,0.2984751050002514,387
ACTR1B,0.2970861850864896,387
TNFRSF25,0.2970136193466694,387
GABARAPL2,0.2960299113127092,387
NPIPB4,0.29549269107192144,387
MT-ND3,0.293943753024836,387
ZC3H12A,0.29388229943218613,387
C1orf35,0.2936818347958194,387
CFAP298,0.2931058990880099,387
IFT57,0.29285667179882546,387
VSIG2,0.2927132949169581,387
CFTR,0.2921468365348466,387
IFI30,0.29194352753432723,387
RAB25,0.29075941699489205,387
EEPD1,0.29008259385669993,387
SLC2A1,0.2894697493087254,387
CCND2,0.2889055094478361,387
HOXB9,0.28762026227827003,387
MUC5B,0.2872530672711787,387
MPP1,0.28707625183045427,387
ICA1,0.2870063489459418,387
COL18A1,0.28688475837805155,387
CCL11,0.286758999705967,387
PPIH,0.28655337889609833,387
LGALS2,0.28645246110739225,387
NEDD9,0.2855158043187442,387
FOXP4,0.28457507061331216,387
STRBP,0.2844203665387241,387
MT1F,0.28397552473737975,387
C1orf198,0.28345459005318424,387
MGAT4B,0.2830892245716829,387
PFDN2,0.28252974340425185,387
HERPUD2,0.28074762638634043,387
CKS2,0.28050448841548065,387
RAD21,0.28040663412740824,387
PARM1,0.28037637519739705,387
FAM3A,0.28033827217145973,387
BTG2,0.2801657458777434,387
MT-ND2,0.27903421912391313,387
RNF6,0.2786070021071678,387
RCBTB1,0.2775540669850579,387
SMOC2,0.2774303561181196,387
DNAJA3,0.2769243244814589,387
NDUFB3,0.27653131869240277,387
PEF1,0.27627265851251404,387
MED12,0.2762610831355554,387
SUCO,0.27585896371251184,387
RPIA,0.2750153202387998,387
GNG10,0.27400118837728166,387
NGDN,0.27391884381115766,387
RASEF,0.2729017144853998,387
CTPS2,0.27281271982875455,387
INTS8,0.27256032744228775,387
MGRN1,0.27089916772148914,387
CD14,0.27052607787963157,387
HOXA13,0.26968740799947166,387
FABP1,0.26889535771334205,387
EXOSC8,0.2684679546997028,387
INPP5D,0.2678641907789281,387
CYP2W1,0.2675303514135946,387
DHRS3,0.2673912756270005,387
GOLM1,0.2667183275267964,387
ANGPTL2,0.26261368251007944,387
RMI2,0.2620745438284861,387
ST14,0.26092478897710797,387
SYT7,0.25998776514177585,387
CDC20,0.2591266996149152,387
BMP4,0.25911542511652885,387
ARV1,0.25910686847333525,387
PRLR,0.25730551963010656,387
RNASEH2B,0.25598975692176246,387
GDF15,0.25524413124289735,387
PADI2,0.2550019659762127,387
CPNE7,0.2546934778419015,387
MRPL18,0.2545987504608004,387
CENPN,0.25432804762871825,387
RGCC,0.2543171336167219,387
ADAMTS1,0.2540424492103142,387
HILPDA,0.2529180144124507,387
UBE2T,0.25289661843988975,387
SPON1,0.2528855369792325,387
RSPO3,0.2528819139746546,387
DIS3,0.2514985738013379,387
PTPRO,0.2512460662980915,387
GPT,0.2510297434371595,387
PHYKPL,0.2509607967698465,387
LGALS4,0.25041961395675094,387
LRRC75B,0.2501139199200491,387
RUBCNL,0.2501134839006626,387
MRPS31,0.24968717893321235,387
PLXNB1,0.2496217058544589,387
PHGR1,0.24948970604255244,387
MME,0.24905127464682628,387
AP1G2,0.24883001216455392,387
FUCA1,0.2485321754583994,387
EPSTI1,0.2483912387753341,387
AXIN1,0.24786874935461287,387
TNFSF11,0.24672422551323003,387
GPA33,0.2458463236780198,387
SRSF7,0.24573797153822907,387
TRAPPC2,0.2436495292786182,387
MCM3,0.24295839114466547,387
EPHA2,0.24259053261812463,387
DAPK2,0.24240909096081117,387
S100A11,0.24230350392296784,387
NXPE1,0.2412336800470523,387
IPO9,0.24101446256526782,387
DOCK9,0.24055684428546323,387
GOLGA7B,0.23988819762101124,387
WNT2B,0.23976793775524827,387
CDKN1C,0.2386217102072666,387
M6PR,0.2385473587751639,387
SDC4,0.23833588197005845,387
KCTD5,0.2377788732835582,387
WFDC2,0.23752115235930107,387
DNASE1L1,0.236985826924956,387
EGR3,0.23633510031490243,387
BAIAP2L1,0.23577584778176824,387
NXPE4,0.2355781170751125,387
FUBP1,0.23527612564136083,387
QSOX1,0.23482636720123784,387
MAGOH,0.2347957088607253,387
NT5C3A,0.23447860440435384,387
SESN1,0.23385560996149032,387
PROCR,0.23372123304081452,387
ABHD12,0.23367526138359668,387
UNKL,0.2335155926280299,387
MTHFD1,0.23350292689367283,387
C2CD4B,0.23330526904698817,387
REXO4,0.23261287825103913,387
BLOC1S2,0.23210897588106955,387
ATP11A,0.23028835985739454,387
RNASE4,0.22876527807513647,387
FURIN,0.22869321237499773,387
INTS7,0.22817852597867738,387
SNRPF,0.2277317997147504,387
RNF126,0.22713780434720593,387
PSMD14,0.22675726955771655,387
FAF1,0.22671655797452525,387
LEF1,0.2266363616896961,387
ADIPOR1,0.2264603505362738,387
TPP2,0.22639728763781689,387
CCT3,0.22606414819571968,387
CES3,0.22597544278332782,387
CPE,0.2256647295577332,387
PDLIM7,0.22533991071040996,387
IFITM3,0.22525474355757102,387
SS18L2,0.22504735455108674,387
MTMR11,0.22471782919073385,387
AGBL5,0.2246199441700709,387
ANLN,0.2244693773098207,387
LTB4R,0.2242943245218227,387
MYEF2,0.22408630496309428,387
PIGL,0.22404649388548478,387
MAPRE1,0.22401230036271422,387
KCTD13,0.22396745164552775,387
PLK1,0.22362544719526534,387
ARHGAP33,0.2235110074088389,387
CRB3,0.22316723255491638,387
PURB,0.2229406473770103,387
ZMYND8,0.22282828193742069,387
KCNQ1,0.2224626568770164,387
LRIG1,0.22221508277259608,387
FAM200B,0.22112580554611888,387
NOMO1,0.22108498044128477,387
TJAP1,0.2210419463602998,387
MEAF6,0.21989380372681505,387
CAPN8,0.21908726630032938,387
HDDC2,0.2183881359457034,387
IFRD2,0.21837179211352326,387
DUOX2,0.21772308130036447,387
NSUN5,0.21761981845048764,387
SEMA3F,0.21743607862251502,387
HIP1R,0.2170659884250092,387
WDR59,0.21615309490289844,387
IAH1,0.21612359785209154,387
OSBPL3,0.21581385145661416,387
UTP4,0.2155285311784327,387
PLA2G4B,0.21539311900626673,387
CD59,0.2153100252499623,387
EDEM2,0.21504948821393283,387
PPP1R11,0.21407488314413536,387
GADD45A,0.2126137836245089,387
VAMP5,0.21246050020253246,387
POLR2E,0.21243019570079893,387
PABPC1L,0.21143490518832025,387
BICDL2,0.21019092799950384,387
AVPI1,0.20981436087858954,387
CA2,0.20874274940496462,387
PAQR8,0.20864242475478842,387
AGR3,0.20821077082289527,387
SLC3A2,0.20819341046287898,387
ARHGAP32,0.2081448732346695,387
TFF3,0.20798551068434784,387
LIG1,0.20767509831365472,387
EIF2D,0.20751511422969973,387
TRAF5,0.20716477015291188,387
CNNM3,0.2064841951637556,387
BET1L,0.2058464638443648,387
IGFBP2,0.20574717320019786,387
SULT2B1,0.20551473038165036,387
TRPM2,0.20495772830128617,387
ZBTB7B,0.2049275336548193,387
FAM222A,0.20475353430027896,387
CRB2,0.2047001320071823,387
TRANK1,0.20442578227817848,387
PLAC8,0.20430618581381252,387
EFNB1,0.2041341951188786,387
DOK4,0.20364520014236712,387
NR4A1,0.20361280205710636,387
SBF1,0.20311872547008983,387
ACSS1,0.20300296398750242,387
CUL4B,0.2029683597772759,387
ZNF598,0.20274402393989024,387
PSMD5,0.20270089541678593,387
PRR7,0.20235654228517716,387
SHROOM3,0.20111504159439594,387
HMBS,0.20110362499910814,387
ANKMY2,0.20089408581950147,387
MDP1,0.20086131895915849,387
CHD7,0.20074959923044394,387
ENPP4,0.200733103900548,387
SUSD6,0.20069238175030904,387
GORASP1,0.20051368440293457,387
AOAH,0.1995729029008653,387
COA3,0.19937467586220184,387
NMI,0.19921916278672655,387
ZNF280D,0.1991832272942053,387
CC2D1B,0.19895756099218032,387
MS4A8,0.19867100898219153,387
USP16,0.1984023312750348,387
ITGB6,0.1982261694751138,387
MRPL33,0.19821912517657608,387
STX3,0.19803891309112642,387
AKR1C3,0.1973180011538075,387
SOX9,0.19725711095476756,387
SQLE,0.19720668226454716,387
FLNC,0.19699609440085164,387
KCNAB2,0.19660243058964624,387
PYCR2,0.19648642920003112,387
RARS2,0.1956551465377733,387
ALDH1A3,0.19514732414370806,387
ATP5MG,0.19511972887096232,387
EPHB2,0.19481946244113563,387
TACC3,0.19444765432262462,387
RNF128,0.19443830547241323,387
DLG3,0.19351239180251495,387
NAE1,0.1933355700192306,387
NGRN,0.19301484401352278,387
EXOSC10,0.19290693518845436,387
PIKFYVE,0.19290245269205303,387
SPATS2L,0.1927867666234767,387
PLCE1,0.19271819536665552,387
TCAF1,0.19221770432734794,387
STK26,0.1919744176713173,387
CYP2J2,0.19147852634241275,387
ECHDC2,0.19132573294869593,387
ERMARD,0.1912822815233277,387
CYP27A1,0.18964571717243012,387
CA12,0.18865774378412709,387
SRPK1,0.1886332658441956,387
TSGA10,0.18854705139680766,387
CEBPA,0.18852561998805994,387
CHMP4C,0.1882537200850416,387
AFMID,0.18817559598414485,387
TRIM25,0.18806006902158715,387
B4GALNT3,0.18751827933034831,387
RANBP1,0.1873547557227469,387
PHLDA3,0.18663630055354277,387
PKIB,0.18624523539853574,387
TPX2,0.1860723071511904,387
SPATA6L,0.1860510345164656,387
VAV3,0.18586002144556585,387
MRPL23,0.1851486274701024,387
FOXA3,0.18502414129304515,387
